year,county,dem,rep,dem_v,dem_s,rep_v,rep_s
2016,12057,Hillary Clinton,Donald J. Trump,307896,50.99%,266870,44.19%
2016,12059,Hillary Clinton,Donald J. Trump,853,9.97%,7483,87.46%
2016,12061,Hillary Clinton,Donald J. Trump,29043,35.96%,48620,60.20%
2016,12063,Hillary Clinton,Donald J. Trump,6397,30.23%,14257,67.38%
2016,12065,Hillary Clinton,Donald J. Trump,3541,46.05%,3930,51.11%
2016,12067,Hillary Clinton,Donald J. Trump,518,15.19%,2809,82.35%
2016,12069,Hillary Clinton,Donald J. Trump,62838,36.58%,102188,59.48%
2016,12071,Hillary Clinton,Donald J. Trump,124908,37.90%,191551,58.12%
2016,12073,Hillary Clinton,Donald J. Trump,92068,59.83%,53821,34.98%
2016,12075,Hillary Clinton,Donald J. Trump,5101,26.16%,13775,70.64%
2016,12077,Hillary Clinton,Donald J. Trump,651,19.66%,2543,76.78%
2016,12079,Hillary Clinton,Donald J. Trump,3526,41.29%,4851,56.80%
2016,12081,Hillary Clinton,Donald J. Trump,71224,39.40%,101944,56.40%
2016,12083,Hillary Clinton,Donald J. Trump,62041,35.27%,107833,61.30%
2016,12085,Hillary Clinton,Donald J. Trump,30185,34.84%,53204,61.41%
2016,12086,Hillary Clinton,Donald J. Trump,624146,63.22%,333999,33.83%
2016,12087,Hillary Clinton,Donald J. Trump,18971,44.14%,21904,50.97%
2016,12089,Hillary Clinton,Donald J. Trump,10869,23.13%,34266,72.92%
2016,12091,Hillary Clinton,Donald J. Trump,23780,23.29%,71893,70.42%
2016,12093,Hillary Clinton,Donald J. Trump,3959,28.77%,9356,67.99%
2016,12095,Hillary Clinton,Donald J. Trump,329894,59.77%,195216,35.37%
2016,12097,Hillary Clinton,Donald J. Trump,85458,60.41%,50301,35.56%
2016,12099,Hillary Clinton,Donald J. Trump,374673,56.24%,272402,40.89%
2016,12101,Hillary Clinton,Donald J. Trump,90142,37.06%,142101,58.41%
2016,12103,Hillary Clinton,Donald J. Trump,233701,46.98%,239201,48.08%
2016,12105,Hillary Clinton,Donald J. Trump,117433,40.92%,157430,54.86%
2016,12107,Hillary Clinton,Donald J. Trump,10094,30.31%,22138,66.48%
2016,12109,Hillary Clinton,Donald J. Trump,43099,31.27%,88684,64.34%
