"","year","county","dem","rep","dem_v","dem_s","rep_v","rep_s"
"171",2016,6027,"Hillary Clinton","Donald J. Trump",3155,"38.57%",4248,"51.94%"
"172",2016,6029,"Hillary Clinton","Donald J. Trump",98689,"40.42%",129584,"53.07%"
"173",2016,6031,"Hillary Clinton","Donald J. Trump",13617,"39.69%",18093,"52.73%"
"174",2016,6033,"Hillary Clinton","Donald J. Trump",11500,"46.59%",10603,"42.95%"
"175",2016,6035,"Hillary Clinton","Donald J. Trump",2224,"20.79%",7574,"70.79%"
"176",2016,6037,"Hillary Clinton","Donald J. Trump",2464364,"71.76%",769743,"22.41%"
"177",2016,6039,"Hillary Clinton","Donald J. Trump",17029,"39.14%",23357,"53.69%"
"178",2016,6041,"Hillary Clinton","Donald J. Trump",108707,"77.27%",21771,"15.48%"
"179",2016,6043,"Hillary Clinton","Donald J. Trump",3122,"35.17%",5185,"58.41%"
"180",2016,6045,"Hillary Clinton","Donald J. Trump",22079,"58.23%",10888,"28.72%"
"181",2016,6047,"Hillary Clinton","Donald J. Trump",37317,"52.47%",28725,"40.39%"
"182",2016,6049,"Hillary Clinton","Donald J. Trump",877,"22.82%",2696,"70.15%"
"183",2016,6051,"Hillary Clinton","Donald J. Trump",2773,"52.51%",2111,"39.97%"
"184",2016,6053,"Hillary Clinton","Donald J. Trump",89088,"66.78%",34895,"26.16%"
"185",2016,6055,"Hillary Clinton","Donald J. Trump",39199,"63.87%",17411,"28.37%"
"186",2016,6057,"Hillary Clinton","Donald J. Trump",26053,"47.43%",23365,"42.53%"
"187",2016,6059,"Hillary Clinton","Donald J. Trump",609961,"50.94%",507148,"42.35%"
"188",2016,6061,"Hillary Clinton","Donald J. Trump",73509,"39.52%",95138,"51.14%"
"189",2016,6063,"Hillary Clinton","Donald J. Trump",3459,"35.12%",5420,"55.03%"
"190",2016,6065,"Hillary Clinton","Donald J. Trump",373695,"49.73%",333243,"44.35%"
"191",2016,6067,"Hillary Clinton","Donald J. Trump",326023,"57.98%",189789,"33.75%"
"192",2016,6069,"Hillary Clinton","Donald J. Trump",12521,"56.60%",7841,"35.44%"
"193",2016,6071,"Hillary Clinton","Donald J. Trump",340833,"52.12%",271240,"41.48%"
"194",2016,6073,"Hillary Clinton","Donald J. Trump",735476,"56.07%",477766,"36.43%"
"195",2016,6075,"Hillary Clinton","Donald J. Trump",345084,"84.47%",37688,"9.23%"
"196",2016,6077,"Hillary Clinton","Donald J. Trump",121124,"53.36%",88936,"39.18%"
"197",2016,6079,"Hillary Clinton","Donald J. Trump",67107,"48.91%",56164,"40.94%"
"198",2016,6081,"Hillary Clinton","Donald J. Trump",237882,"75.67%",57929,"18.43%"
"199",2016,6083,"Hillary Clinton","Donald J. Trump",107142,"59.90%",56365,"31.51%"
"200",2016,6085,"Hillary Clinton","Donald J. Trump",511684,"72.71%",144826,"20.58%"
"201",2016,6087,"Hillary Clinton","Donald J. Trump",95249,"73.26%",22438,"17.26%"
"202",2016,6089,"Hillary Clinton","Donald J. Trump",22301,"27.52%",51778,"63.90%"
"203",2016,6091,"Hillary Clinton","Donald J. Trump",601,"32.35%",1048,"56.40%"
"204",2016,6093,"Hillary Clinton","Donald J. Trump",7234,"35.30%",11341,"55.34%"
"205",2016,6095,"Hillary Clinton","Donald J. Trump",102360,"60.87%",51920,"30.88%"
"206",2016,6097,"Hillary Clinton","Donald J. Trump",160435,"68.77%",51408,"22.03%"
"207",2016,6099,"Hillary Clinton","Donald J. Trump",81647,"46.81%",78494,"45.01%"
"208",2016,6101,"Hillary Clinton","Donald J. Trump",13076,"38.66%",18176,"53.74%"
"209",2016,6103,"Hillary Clinton","Donald J. Trump",6809,"28.48%",15494,"64.81%"
"210",2016,6105,"Hillary Clinton","Donald J. Trump",2214,"38.28%",2812,"48.62%"
"211",2016,6107,"Hillary Clinton","Donald J. Trump",47585,"41.70%",58299,"51.09%"
"212",2016,6109,"Hillary Clinton","Donald J. Trump",9123,"35.23%",14551,"56.20%"
"213",2016,6111,"Hillary Clinton","Donald J. Trump",194402,"54.59%",132323,"37.16%"
"214",2016,6113,"Hillary Clinton","Donald J. Trump",54752,"66.70%",20739,"25.26%"
"215",2016,6115,"Hillary Clinton","Donald J. Trump",7910,"34.39%",13170,"57.27%"
"216",2016,8001,"Hillary Clinton","Donald J. Trump",96558,"49.86%",80082,"41.35%"
"217",2016,8003,"Hillary Clinton","Donald J. Trump",3189,"45.96%",3046,"43.90%"
"218",2016,8005,"Hillary Clinton","Donald J. Trump",159885,"52.76%",117053,"38.63%"
"219",2016,8007,"Hillary Clinton","Donald J. Trump",2500,"34.06%",4264,"58.10%"
"220",2016,8009,"Hillary Clinton","Donald J. Trump",283,"13.14%",1753,"81.42%"
"221",2016,8011,"Hillary Clinton","Donald J. Trump",590,"30.62%",1188,"61.65%"
"222",2016,8013,"Hillary Clinton","Donald J. Trump",132334,"70.34%",41396,"22.00%"
"223",2016,8014,"Hillary Clinton","Donald J. Trump",19731,"52.35%",14367,"38.12%"
"224",2016,8015,"Hillary Clinton","Donald J. Trump",4888,"43.45%",5391,"47.92%"
"225",2016,8017,"Hillary Clinton","Donald J. Trump",132,"11.98%",925,"83.94%"
"226",2016,8019,"Hillary Clinton","Donald J. Trump",2729,"46.52%",2575,"43.90%"
"227",2016,8021,"Hillary Clinton","Donald J. Trump",1771,"44.03%",1914,"47.59%"
"228",2016,8023,"Hillary Clinton","Donald J. Trump",1125,"60.88%",588,"31.82%"
"229",2016,8025,"Hillary Clinton","Donald J. Trump",339,"22.20%",1079,"70.66%"
"230",2016,8027,"Hillary Clinton","Donald J. Trump",797,"25.99%",2061,"67.22%"
"231",2016,8029,"Hillary Clinton","Donald J. Trump",4087,"24.34%",11655,"69.42%"
"232",2016,8031,"Hillary Clinton","Donald J. Trump",244551,"73.69%",62690,"18.89%"
"233",2016,8033,"Hillary Clinton","Donald J. Trump",242,"19.28%",944,"75.22%"
"234",2016,8035,"Hillary Clinton","Donald J. Trump",68657,"36.62%",102573,"54.71%"
"235",2016,8037,"Hillary Clinton","Donald J. Trump",14099,"55.90%",8990,"35.64%"
"236",2016,8039,"Hillary Clinton","Donald J. Trump",3134,"19.61%",11705,"73.25%"
"237",2016,8041,"Hillary Clinton","Donald J. Trump",108010,"33.86%",179228,"56.19%"
"238",2016,8043,"Hillary Clinton","Donald J. Trump",5297,"24.11%",15122,"68.82%"
"239",2016,8045,"Hillary Clinton","Donald J. Trump",11271,"42.58%",13132,"49.61%"
"240",2016,8047,"Hillary Clinton","Donald J. Trump",1634,"45.69%",1566,"43.79%"
"241",2016,8049,"Hillary Clinton","Donald J. Trump",3358,"39.10%",4494,"52.33%"
"242",2016,8051,"Hillary Clinton","Donald J. Trump",5128,"54.48%",3289,"34.94%"
"243",2016,8053,"Hillary Clinton","Donald J. Trump",197,"33.45%",339,"57.56%"
"244",2016,8055,"Hillary Clinton","Donald J. Trump",1633,"43.17%",1883,"49.78%"
"245",2016,8057,"Hillary Clinton","Donald J. Trump",171,"19.86%",629,"73.05%"
"246",2016,8059,"Hillary Clinton","Donald J. Trump",160776,"48.89%",138177,"42.01%"
"247",2016,8061,"Hillary Clinton","Donald J. Trump",91,"10.64%",728,"85.15%"
